パターンID,曲順,楽曲ID
2023_10th_base,12,M0525
2023_10th_base,13,M0214
2023_10th_base,14,M0259
2023_10th_base,15,M0223
2023_10th_base,16,M0221
2023_10th_base,17,M0250
2023_10th_base,18,M0237
2023_10th_base,19,MEDLEY_10th
2023_10th_base,20,M0239
2023_10th_base,21,M0189
2023_10th_base,22,M0246
2023_10th_base,23,M0274
2023_10th_base,24,M0296
2023_10th_base,25,M0248
2023_10th_base,26,M0228
2023_10th_base,27,M0224
2025_senra_base,1,M0560
2025_senra_base,2,VAR_A
2025_senra_base,3,VAR_B
2025_senra_base,4,M0601
2025_senra_base,5,VAR_C
2025_senra_base,6,M0564
2025_senra_base,7,M0533
2025_senra_base,8,M0602
2025_senra_base,9,M0603
2025_senra_base,10,M0604
2025_senra_base,11,M0566
2025_senra_base,12,VAR_D
2025_senra_base,13,M0568
2025_senra_base,14,M0561
2025_senra_base,15,M0527
2025_senra_base,16,VAR_E
2025_senra_base,17,M0525
2025_senra_base,18,M0026
2025_senra_base,19,M0519
2025_senra_base,20,M0605
2025_senra_base,21,VAR_F
2025_senra_base,22,M0567
2025_senra_base,23,VAR_G
2025_senra_base,24,M0546
2025_senra_base,25,VAR_H
2026_shima_base,1,M0439
2026_shima_base,2,M0606
2026_shima_base,3,M0607
2026_shima_base,4,M0608
2026_shima_base,5,M0437
2026_shima_base,6,M0440
2026_shima_base,7,M0441
2026_shima_base,8,M0420
2026_shima_base,9,M0609
2026_shima_base,10,M0399
2026_shima_base,11,M0442
2026_shima_base,12,M0443
2026_shima_base,13,M0407
2026_shima_base,14,M0051
2026_shima_base,15,M0438
2026_shima_base,16,VAR_A
2026_shima_base,17,M0427
2026_shima_base,18,M0444
2026_shima_base,19,VAR_B
2026_shima_base,20,VAR_C
2026_shima_base,21,M0400
2024_senra_base,1,M0554
2024_senra_base,2,M0556
2024_senra_base,3,M0216
2024_senra_base,4,M0540
2024_senra_base,5,M0555
2024_senra_base,6,M0557
2024_senra_base,7,VAR_A
2024_senra_base,8,M0610
2024_senra_base,9,VAR_B
2024_senra_base,10,VAR_C
2024_senra_base,11,M0611
2024_senra_base,12,M0558
2024_senra_base,13,M0550
2024_senra_base,14,M0176
2024_senra_base,15,M0525
2024_senra_base,16,M0612
2024_senra_base,17,M0053
2024_senra_base,18,VAR_D
2024_senra_base,19,M0528
2024_senra_base,20,M0510
2024_senra_base,21,M0559
2024_senra_base,22,VAR_E
2024_senra_base,23,M0546
2024_senra_base,24,VAR_F
2023_senra_base,1,M0547
2023_senra_base,2,M0627
2023_senra_base,3,M0628
2023_senra_base,4,M0529
2023_senra_base,5,M0629
2023_senra_base,6,VAR_A
2023_senra_base,7,VAR_B
2023_senra_base,8,M0551
2023_senra_base,9,M0630
2023_senra_base,10,M0631
2023_senra_base,11,M0536
2023_senra_base,12,M0548
2023_senra_base,13,VAR_C
2023_senra_base,14,M0176
2023_senra_base,15,M0525
2023_senra_base,16,M0602
2023_senra_base,17,VAR_D
2023_senra_base,18,VAR_E
2023_senra_base,19,VAR_F
2023_senra_base,20,M0552
2023_senra_base,21,VAR_G
2023_senra_base,22,M0595
2023_senra_base,23,M0546
2023_senra_base,24,VAR_H
2026_sakata_base,1,M0635
2026_sakata_base,2,M0640
2026_sakata_base,3,M0476
2026_sakata_base,4,VAR_A
2026_sakata_base,5,VAR_B
2026_sakata_base,6,M0497
2026_sakata_base,7,M0641
2026_sakata_base,8,VAR_C
2026_sakata_base,9,VAR_D
2026_sakata_base,10,M0642
2026_sakata_base,11,M0639
2026_sakata_base,12,M0505
2026_sakata_base,13,M0491
2026_sakata_base,14,M0294
2026_sakata_base,15,M0465
2026_sakata_base,16,VAR_E
2026_sakata_base,17,M0481
2026_sakata_base,18,M0488
2026_sakata_base,19,M0638
2026_sakata_base,20,VAR_F
2026_sakata_base,21,M0636
2026_sakata_base,22,M0447
2026_sakata_base,23,M0487
2026_sakata_base,24,VAR_G
2026_summer_base,1,M0614
2026_summer_base,2,M0168
2026_summer_base,3,M0032
2026_summer_base,4,VAR_A
2026_summer_base,5,M0615
2026_summer_base,6,M0180
2026_summer_base,7,VAR_B
2026_summer_base,8,M0625
2026_summer_base,9,M0617
2026_summer_base,10,M0179
2026_summer_base,11,M0616
2026_summer_base,12,M0622
2026_summer_base,13,M0619
2026_summer_base,14,M0623
2026_summer_base,15,M0620
2026_summer_base,16,M0621
2026_summer_base,17,M0624
2026_summer_base,18,M0041
2026_summer_base,19,M0199
2026_summer_base,20,VAR_C
2026_summer_base,21,M0001
2026_summer_base,22,M0626
2026_summer_base,23,VAR_D
2026_summer_base,24,M0655
2026_summer_base,25,M0046
2026_summer_base,26,M0618
2026_summer_base,27,M0002
2026_summer_base,28,VAR_E
2026_urata_base,1,M0656
2026_urata_base,2,M0372
2026_urata_base,3,VAR_A
2026_urata_base,4,M0659
2026_urata_base,5,M0587
2026_urata_base,6,M0359
2026_urata_base,7,VAR_B
2026_urata_base,8,M0370
2026_urata_base,9,M0665
2026_urata_base,10,M0661
2026_urata_base,11,M0660
2026_urata_base,12,M0666
2026_urata_base,13,M0669
2026_urata_base,14,VAR_C
2026_urata_base,15,M0657
2026_urata_base,16,M0352
2026_urata_base,17,M0658
2026_urata_base,18,M0671
2026_urata_base,19,M0672
2026_urata_base,20,VAR_D
2026_urata_base,21,M0337
2026_urata_base,22,M0675
2026_urata_base,23,M0676
2026_urata_base,24,M0662
2026_urata_base,25,M0358
2026_urata_base,26,M0677
2026_urata_base,27,M0667
2026_urata_base,28,VAR_E
2025_sakata_base,1,M0494
2025_sakata_base,2,M0074
2025_sakata_base,3,VAR_A
2025_sakata_base,4,M0679
2025_sakata_base,5,M0681
2025_sakata_base,6,VAR_B
2025_sakata_base,7,VAR_C
2025_sakata_base,8,VAR_D
2025_sakata_base,9,VAR_E
2025_sakata_base,10,M0487
2025_sakata_base,11,VAR_F
2025_sakata_base,12,VAR_G
2025_sakata_base,13,VAR_H
2025_sakata_base,14,M0591
2025_sakata_base,15,VAR_I
2025_sakata_base,16,M0504
2025_sakata_base,17,VAR_J
2025_sakata_base,18,M0682
2025_sakata_base,19,M0498
2025_sakata_base,20,M0493
2025_sakata_base,21,VAR_K
2025_sakata_base,22,VAR_L
2025_sakata_base,23,VAR_M
2025_sakata_base,24,VAR_N
2025_shima_base,1,M0174
2025_shima_base,2,M0694
2025_shima_base,3,VAR_A
2025_shima_base,4,M0695
2025_shima_base,5,VAR_B
2025_shima_base,6,M0414
2025_shima_base,7,M0051
2025_shima_base,8,M0214
2025_shima_base,9,VAR_C
2025_shima_base,10,M0427
2025_shima_base,11,M0110
2025_shima_base,12,M0412
2025_shima_base,13,VAR_D
2025_shima_base,14,M0422
2025_shima_base,15,M0696
2025_shima_base,16,M0437
2025_shima_base,17,M0419
2025_shima_base,18,VAR_E
2025_shima_base,19,VAR_F
2025_shima_base,20,M0697
2025_shima_base,21,M0698
2025_shima_base,22,M0438
2025_shima_base,23,M0434
2025_shima_base,24,VAR_G
2025_shima_base,25,M0400
